FCE_SEGMENT,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
S,49,48,45,56,51,52,53,56,16
T,39,39,38,45,44,46,45,46,13
A+,34,33,30,36,36,35,37,36,11
A,30,27,25,26,26,26,27,26,8
LT3M,39,27,31,29,25,27,31,33,12
R,25,21,19,17,15,14,14,12,3
